wrist,chest
51.54406667,52.11848906
51.56586667,52.14283872
51.58673333,52.16795388
51.60673333,52.18430528
51.62546667,52.21333144
51.64293333,52.23849715
51.65893333,52.25071733
51.6732,52.29036247
51.68653333,52.32595857
51.69893333,52.33566395
51.71,52.35636739
51.71946667,52.37630127
51.7276,52.39094176
51.73446667,52.41833622
51.74026667,52.45613997
51.74553333,52.47042744
51.75113333,52.49011179
51.75726667,52.510722
51.764,52.53184437
51.77133333,52.55682811
51.77906667,52.57804146
51.787,52.58184276
51.79453333,52.58307044
51.8016,52.5760341
51.80806667,52.51056095
51.81386667,52.43511653
51.81873333,52.35258052
51.82326667,52.27195653
51.8272,52.20996426
51.82993333,52.16260791
51.832,52.10041065
51.83373333,52.09122319
51.83573333,52.10983916
51.8382,52.1288239
51.84133333,52.15918413
51.8448,52.20072031
51.84866667,52.24568608
51.85173333,52.24687418
51.85393333,52.24031565
51.85533333,52.24455125
51.85573333,52.27088767
51.8554,52.29740488
51.85486667,52.34375064
51.85426667,52.37124394
51.85453333,52.40300252
51.85526667,52.44663017
51.85646667,52.49336468
51.8584,52.54311116
51.8612,52.58601482
51.8642,52.62152591
51.8682,52.6348614
51.8726,52.6314734
51.8762,52.61671968
51.87826667,52.59105045
51.8778,52.56623191
51.87493333,52.54997432
51.8696,52.51896451
51.86286667,52.53197772
51.85533333,52.56543092
51.84733333,52.61236788
51.83853333,52.65330246
51.82953333,52.7021448
51.8212,52.74167722
51.81366667,52.73536291
51.80733333,52.71471451
51.80233333,52.71494699
51.79873333,52.71369521
51.79666667,52.69840119
51.79573333,52.6588415
51.7962,52.60951391
51.79853333,52.57229098
51.8028,52.53607692
51.80926667,52.51265473
51.81766667,52.49259977
51.8276,52.47196
51.83913333,52.48159645
51.85153333,52.49726299
51.86493333,52.51421852
51.87893333,52.53993781
51.89253333,52.59377538
51.9054,52.65147339
51.9172,52.70106126
51.92826667,52.72322419
51.93893333,52.72712415
51.94973333,52.75691483
51.961,52.77338187
51.97346667,52.79061847
51.98813333,52.7782266
52.0046,52.75308075
52.02233333,52.74654133
52.0402,52.76351819
52.05853333,52.78235424
52.07686667,52.80026442
52.09486667,52.80836516
52.11213333,52.81260453
52.12866667,52.81612368
52.14413333,52.83705488
52.1588,52.88083724
52.17306667,52.93288362
52.186,52.97399688
52.1972,53.02508142
52.2066,53.08310714
52.2138,53.13922086
52.2192,53.18907301
52.22206667,53.22428924
52.22273333,53.22178489
52.22133333,53.16627074
52.2178,53.10916733
52.21253333,53.05169515
52.2062,52.99067315
52.1986,52.9184752
52.19093333,52.84816356
52.1838,52.8216296
52.17786667,52.79827116
52.1736,52.76411859
52.17113333,52.72872136
52.17113333,52.69314335
52.17366667,52.66674015
52.1784,52.65918942
52.18493333,52.66220796
52.19253333,52.65335743
52.20113333,52.65103119
52.20953333,52.64569298
52.21753333,52.66166151
52.22333333,52.68502262
52.226,52.72570693
52.2264,52.78311473
52.22566667,52.83499103
52.2242,52.89778284
52.22253333,52.95836426
52.22073333,53.01038472
52.21906667,53.05658074
52.21753333,53.05875372
52.21606667,53.06180277
52.215,53.05136805
52.2138,53.04724786
52.21273333,53.03521992
52.21166667,53.02074381
52.21053333,53.05211444
52.21053333,53.06199875
52.212,53.05100217
52.21513333,53.04136703
52.21973333,53.04577414
52.22526667,53.03762405
52.23166667,53.03924187
52.2378,53.03058683
52.243,53.02092292
52.24593333,53.00791549
52.24673333,52.99154084
52.24566667,52.97905302
52.24373333,52.93628898
52.24066667,52.88626952
52.23673333,52.83496107
52.2326,52.79477699
52.22853333,52.72647463
52.2252,52.66051222
52.22273333,52.60265994
52.2216,52.56200868
52.22113333,52.53962039
52.22166667,52.52419814
52.224,52.52209953
52.22826667,52.51886593
52.2342,52.5452608
52.2414,52.54840987
52.2498,52.53295253
52.25933333,52.52120325
52.26986667,52.50759478
52.28113333,52.50871402
52.29326667,52.5196427
52.30546667,52.54584161
52.31806667,52.57276074
52.33046667,52.59852268
52.34273333,52.60143346
52.35486667,52.61215109
52.36713333,52.63380183
52.3794,52.64473409
52.39133333,52.64872518
52.402,52.61539682
52.4108,52.58833003
52.41786667,52.5771371
52.4234,52.60366475
52.4272,52.62398709
52.42993333,52.64589869
52.4316,52.68525046
52.434,52.72815204
52.43766667,52.77758576
52.44253333,52.82513316
52.4472,52.87116051
52.4514,52.91401235
52.45506667,52.94596507
52.45746667,52.97916245
52.45846667,53.01530326
52.45753333,53.04226926
52.4548,53.06159206
52.4502,53.07034559
52.44393333,53.06706065
52.43626667,53.05725142
52.42686667,53.05982212
52.4156,53.04108608
52.4028,53.01472616
52.38873333,52.97104305
52.37346667,52.92155444
52.35713333,52.87759733
52.33973333,52.82652008
52.32146667,52.77765323
52.30246667,52.72679849
52.28266667,52.6817682
52.26206667,52.63744576
52.2404,52.59224725
52.21833333,52.5524821
52.19646667,52.50640241
52.1744,52.46179002
52.15233333,52.41962579
52.13033333,52.38726683
52.10753333,52.37639419
52.08426667,52.36739291
52.06053333,52.3570302
52.03666667,52.35440302
52.01293333,52.36433303
51.9896,52.33008704
51.96613333,52.30611392
51.94186667,52.28472938
51.91726667,52.26668836
51.89193333,52.25300357
51.86626667,52.23543196
51.84026667,52.22900463
51.8136,52.22983272
51.78646667,52.24198401
51.75826667,52.24301091
51.72953333,52.24338655
51.6996,52.24142225
51.66833333,52.23368612
51.6358,52.20874897
51.6024,52.17273832
51.56866667,52.12976162
51.5344,52.09245303
51.49966667,52.05627943
51.46493333,52.01692608
51.43066667,52.00081851
51.3972,51.97792974
51.36466667,51.95133291
51.3334,51.92941182
51.3032,51.89276303
51.27446667,51.85610592
51.2472,51.80417858
51.22153333,51.7576729
51.197,51.71232441
51.17293333,51.6760086
51.14933333,51.63188595
51.12633333,51.59973697
51.104,51.57830646
51.08306667,51.56611822
51.06386667,51.59124941
51.0462,51.60909406
51.02986667,51.61106483
51.01486667,51.60686571
51.00093333,51.6088719
50.98873333,51.61730699
50.97866667,51.60830192
50.97013333,51.58734485
50.9634,51.55985563
50.95873333,51.54004447
50.95606667,51.52175336
50.95533333,51.50091249
50.95666667,51.49097073
50.96013333,51.47641304
50.96666667,51.45891192
50.97866667,51.45383866
50.99553333,51.45640858
51.0174,51.4514017
51.04353333,51.45843327
51.07206667,51.45894515
51.10233333,51.4470771
51.134,51.46290154
51.1662,51.48634984
51.19846667,51.5528859
51.23073333,51.62522746
51.2628,51.73690047
51.2944,51.85569362
51.32546667,52.03679771
51.35633333,52.21988969
51.38726667,52.38643141
51.41813333,52.55226527
51.4492,52.70517108
51.4808,52.85264355
51.51286667,52.90769244
51.54526667,52.96127405
51.578,52.97201754
51.61073333,52.97295576
51.64326667,52.96332935
51.676,52.95183159
51.70906667,52.93427683
51.742,52.90898655
51.77433333,52.88399368
51.8054,52.90317681
51.83493333,52.92567844
51.86353333,52.94559149
51.89106667,52.96414534
51.91673333,52.97834297
51.94033333,52.99677825
51.96213333,53.00406924
51.98173333,52.99657541
51.9996,52.97775839
52.0154,52.97267138
52.02646667,52.96823564
52.03306667,52.95214944
52.0356,52.94183507
52.03473333,52.92894508
52.03193333,52.9271286
52.02806667,52.92232857
52.02326667,52.91186044
52.01826667,52.90013881
52.01406667,52.89159694
52.0102,52.88367466
52.00686667,52.8825336
52.004,52.88476088
52.00133333,52.88231242
51.99866667,52.88257938
51.99573333,52.88285466
51.99266667,52.88608424
51.98906667,52.88389215
51.98413333,52.91133072
51.9778,52.9297366
51.9706,52.94029388
51.96166667,52.9388775
51.9512,52.95669051
51.93893333,52.96526125
51.923,52.97495413
51.90433333,52.99193355
51.88386667,52.99161739
51.86226667,52.99747112
51.841,53.00991342
51.82086667,53.01592681
51.80213333,53.01645449
51.78466667,53.02893417
51.76853333,53.04029822
51.75366667,53.04398422
51.7396,53.05135737
51.7264,53.06128028
51.7136,53.05138329
51.70126667,53.04610223
51.6894,53.06174596
51.67793333,53.06496183
51.66673333,53.11963355
51.65513333,53.18188209
51.64266667,53.23692638
51.62933333,53.29849038
51.61513333,53.33620377
51.60026667,53.34622466
51.5838,53.36579184
51.566,53.34227125
51.54686667,53.28477327
51.527,53.18794382
51.5068,53.07292086
51.48653333,52.89558697
